Name, Events, Parent, Total[%],Minimum,Maximum,BinWidth,FracTotalCalculated
Bin 1,1161,1.16563924419188,1.161,778.9329,1600.6589999999999,821.7260999999999,0.01268
Bin 2,4830,4.8508099747918605,4.83,1659.3629999999998,3409.9309999999996,1750.5679999999998,0.046025
Bin 3,19909,19.994777595886397,19.909000000000002,3410.02,7264.25,3854.23,0.196955
Bin 4,42471,42.6539855982164,42.471000000000004,7264.368,14927.83,7663.4619999999995,0.438775
Bin 5,14574,14.636791836980601,14.574000000000002,15475.27,31799.38,16324.11,0.14594
Bin 6,5906,5.93144590292354,5.906000000000001,31801.31,65349.68,33548.369999999995,0.055505
Bin 7,4927,4.94822789768105,4.927,67747.11,139214.5,71467.39,0.049785
Bin 8,957,0.9608240798377541,0.9570000000000001,139220.0,296554.9,157334.90000000002,0.00956
FSC-BSC,99602,99.602,99.602,-8647.242,798980.8,807628.042,
